date,open,high,low,close,volume,factor
2013-05-15,0.99,0.999,0.989,0.997,877116.0,1.0
2013-05-16,0.997,0.999,0.994,0.999,265570.0,1.0
2013-05-17,0.999,1.0,0.996,0.997,36379.0,1.0
2013-05-20,1.002,1.004,0.996,0.997,80490.0,1.0
2013-05-21,0.997,0.998,0.994,0.997,161124.0,1.0
2013-05-22,0.998,1.001,0.998,0.999,46257.0,1.0
2013-05-23,0.996,0.996,0.989,0.991,21817.0,1.0
2013-05-24,0.992,0.995,0.991,0.994,16604.0,1.0
2013-05-27,0.995,0.995,0.991,0.995,6493.0,1.0
2013-05-28,0.996,0.996,0.991,0.992,54125.0,1.0
2013-05-29,0.994,0.997,0.991,0.996,26639.0,1.0
2013-05-30,0.992,0.993,0.991,0.992,6701.0,1.0
2013-05-31,0.992,0.998,0.992,0.998,10308.0,1.0
2013-06-03,0.995,0.995,0.989,0.99,9492.0,1.0
2013-06-04,0.992,0.994,0.991,0.993,27616.0,1.0
2013-06-05,0.993,0.993,0.987,0.989,4503.0,1.0
2013-06-06,0.985,0.985,0.97,0.973,50635.0,1.0
2013-06-07,0.978,0.98,0.971,0.973,26352.0,1.0
2013-06-13,0.962,0.972,0.962,0.966,15230.0,1.0
2013-06-14,0.977,0.979,0.975,0.979,29618.0,1.0
2013-06-17,0.975,0.976,0.973,0.976,3863.0,1.0
2013-06-18,0.981,0.985,0.981,0.984,6569.0,1.0
2013-06-19,0.994,0.999,0.992,0.998,29004.0,1.0
2013-06-20,0.985,0.985,0.93,0.981,33926.0,1.0
2013-06-21,0.95,0.96,0.947,0.96,40061.0,1.0
2013-06-24,0.96,0.96,0.951,0.952,8424.0,1.0
2013-06-25,0.952,0.952,0.942,0.947,11994.0,1.0
2013-06-26,0.95,0.96,0.941,0.946,21788.0,1.0
2013-06-27,0.96,0.96,0.954,0.957,13523.0,1.0
2013-06-28,0.961,0.965,0.961,0.963,17639.0,1.0
2013-07-01,0.963,0.965,0.96,0.965,5941.0,1.0
2013-07-02,0.974,0.974,0.968,0.972,17770.0,1.0
2013-07-03,0.972,0.973,0.97,0.973,9454.0,1.0
2013-07-04,0.973,0.978,0.973,0.978,7937.0,1.0
2013-07-05,0.986,0.989,0.976,0.989,16699.0,1.0
2013-07-08,0.995,1.0,0.987,0.998,32218.0,1.0
2013-07-09,0.997,1.0,0.995,0.996,15498.0,1.0
2013-07-10,1.002,1.009,0.993,0.999,37007.0,1.0
2013-07-11,1.0,1.005,0.998,1.004,34670.0,1.0
2013-07-12,1.011,1.02,1.011,1.019,56645.0,1.0
2013-07-15,1.026,1.028,1.02,1.023,30695.0,1.0
2013-07-16,1.023,1.023,1.018,1.019,17099.0,1.0
2013-07-17,1.016,1.021,1.015,1.019,9661.0,1.0
2013-07-18,1.02,1.022,1.019,1.02,13509.0,1.0
2013-07-19,1.02,1.022,1.018,1.019,19280.0,1.0
2013-07-22,1.019,1.019,1.013,1.015,13668.0,1.0
2013-07-23,1.016,1.017,1.014,1.016,21943.0,1.0
2013-07-24,1.013,1.013,0.995,1.0,35217.0,1.0
2013-07-25,1.002,1.004,0.998,1.0,24467.0,1.0
2013-07-26,1.009,1.01,1.006,1.01,8105.0,1.0
2013-07-29,1.01,1.016,1.01,1.015,10918.0,1.0
2013-07-30,1.013,1.013,1.01,1.011,6560.0,1.0
2013-07-31,1.016,1.018,1.013,1.013,12783.0,1.0
2013-08-01,1.014,1.016,1.013,1.014,18477.0,1.0
