top_k,rebalance_anchor,risk_budget_pct_percent,risk_budget_pct,status,elapsed_ms,sharpe_ratio,annualized_return,cumulative_return,annualized_volatility,max_drawdown,max_drawdown_recovery_days,sortino_ratio,calmar_ratio,ulcer_index,ulcer_performance_index,win_rate,payoff_ratio,kelly_fraction,error
1,1,0.1,0.001,ok,,2.1059739340769523,0.038339777629160965,0.6926157026057331,0.017937589898447168,-0.02042211928389015,305,3.51634326592197,1.8773652771387461,0.4911811520209499,7.805628833967492,,,,
1,2,0.1,0.001,ok,,2.2552146550978454,0.041350041587445485,0.7625638435566868,0.018034800958046646,-0.019469721656326544,197,3.8574789601920836,2.123812672689601,0.41133549188433627,10.052631587422738,,,,
1,3,0.1,0.001,ok,,2.4331047330498627,0.04370509451420124,0.8191482059876056,0.017641678150375626,-0.016100782806977132,196,4.205237955129991,2.7144701619887712,0.39549085910163734,11.050848207586373,,,,
1,4,0.1,0.001,ok,,2.321015298236397,0.041780023685541234,0.7727714042436338,0.017698766795727804,-0.016651070692786485,156,4.003737089481009,2.50914937882289,0.3693411476169001,11.312041443288537,,,,
1,5,0.1,0.001,ok,,2.0969535473367875,0.03846082635883663,0.6953779750484081,0.018071479698471997,-0.01758055018594873,325,3.5062584747130012,2.1876918499158506,0.47386968615646896,8.116329759514748,,,,
2,1,0.1,0.001,ok,,1.9487189857539604,0.052654482972217975,1.0499181143937149,0.026508225122404378,-0.02936963680485105,399,3.252992780159966,1.7928203648579308,0.7429544520298461,7.087175105870787,,,,
2,2,0.1,0.001,ok,,1.9721976782522797,0.053002773456844565,1.0594260065900092,0.026358338546575797,-0.02834264222801708,408,3.3380604674619905,1.870071711396428,0.7198449775265016,7.3630816511313695,,,,
2,3,0.1,0.001,ok,,1.9640711479780535,0.05374844615289587,1.0799197711999131,0.02683418826005969,-0.02852273966694796,330,3.366921309366283,1.884406855039222,0.7351118963451182,7.3116006447625495,,,,
2,4,0.1,0.001,ok,,1.9990284299812495,0.054706587252710825,1.1065309350793244,0.026819368443474753,-0.027753411965919406,317,3.398600535078049,1.9711661874183015,0.6283367362766377,8.706571507642229,,,,
2,5,0.1,0.001,ok,,1.919493751602505,0.05177561836421263,1.0261070945297974,0.026476270838300668,-0.022484643462614806,191,3.207074953586884,2.302710223104044,0.6187990557903928,8.367113343131974,,,,
3,1,0.1,0.001,ok,,1.7628053734423077,0.06049949012384759,1.2742740745935492,0.033637260481222966,-0.0383116484841165,448,2.949034470341734,1.5791408753640521,1.097843516715128,5.510757152792496,,,,
3,2,0.1,0.001,ok,,1.7808350003786309,0.061022918394621595,1.290026253303271,0.03357252874751295,-0.04705401664917663,448,2.98753609463541,1.2968694861820982,1.148487130140657,5.31333062366559,,,,
3,3,0.1,0.001,ok,,1.6381285976392457,0.056321129575635176,1.1520891281913364,0.033790666598016654,-0.040200390839846945,420,2.739486418954049,1.4010095026192937,1.0494831665615252,5.366558642399472,,,,
3,4,0.1,0.001,ok,,1.846018273315752,0.061932870480643665,1.3176519422880646,0.03283816662784048,-0.027125409444173076,204,3.134902161166065,2.283205000393007,0.812320492540932,7.624191565932079,,,,
3,5,0.1,0.001,ok,,1.9748811286367325,0.0669432341413847,1.4753885448179282,0.03308285533804831,-0.032231900586740636,227,3.4286134548307303,2.0769248143227212,0.8280530347592719,8.084413839609459,,,,
