trade_year,train_start,train_end,trade_start,trade_end,best_mom_lookback,best_entry_pct,best_exit_pct,best_train_composite,best_train_selection_mode,best_train_stability_threshold,best_train_stability_max_gap,best_train_annualized_return,best_train_sharpe_ratio,oos_annualized_return,oos_sharpe_ratio,oos_calmar_ratio,oos_sortino_ratio,oos_ulcer_index,oos_ulcer_performance_index,oos_max_drawdown,oos_trade_count_total,oos_sqn_recent_100,search_eligible_cases,search_total_cases,search_error_cases
2015,2012-01-01,2014-12-31,2015-01-01,2015-12-31,17,0.0,0.0,0.3780590136681507,stable_primary,0.4289152633150993,0.2873175447212133,0.07501457281318014,1.3882391493898802,0.060577727622514344,0.8567082100482909,0.8017147624019788,1.4187621562407002,3.8434959063622713,1.5761101116886307,-0.07556019979103334,108.0,1.74814039816908,4,275,0
2016,2013-01-01,2015-12-31,2016-01-01,2016-12-31,18,2.0,0.0,0.8897453938741149,stable_primary,0.1731567362109564,0.1731567362109564,0.10479112562423087,1.6634735180743703,0.08430132580500715,1.0516130233343026,1.93243013131207,1.5653986799148119,1.7249491998391173,4.887177304286397,-0.04362451425230507,72.0,2.047888292145845,22,275,0
2017,2014-01-01,2016-12-31,2017-01-01,2017-12-31,18,0.0,-3.0,0.9068476281035839,stable_primary,0.0670140262503417,0.0670140262503417,0.1220215555186499,1.6552552108715899,0.07725471673337014,1.4096365597615703,2.2062024651090737,2.454289644641985,1.391697129733961,5.551115618679063,-0.03501705666417643,50.0,3.027502957923291,56,275,0
2018,2015-01-01,2017-12-31,2018-01-01,2018-12-31,22,0.0,-2.0,0.872626653379347,stable_primary,0.12736819244600284,0.12736819244600284,0.10977411311854435,1.5236231551214903,-0.12788441181724652,-1.6044856238521392,-0.923288157471333,-2.0693148209596726,7.639007283626144,-1.6740972624985029,-0.13850974994360543,75.0,-1.107190203752284,58,275,0
2019,2016-01-01,2018-12-31,2019-01-01,2019-12-31,16,2.0,0.0,0.920634675984904,stable_primary,0.32518217806811134,0.23555773348913012,0.08630393105464962,1.1508741876147146,0.21333349915816946,2.4900000712096446,6.4184161470543275,4.514443825424648,1.3705685231375577,15.565328953403824,-0.03323771694923161,98.0,3.818711425386457,25,275,0
2020,2017-01-01,2019-12-31,2020-01-01,2020-12-31,17,3.0,-2.0,0.8244560417196698,stable_primary,0.1921014526526179,0.1921014526526179,0.13816652492405535,1.6842342836856938,0.3128472053031537,2.5392765148888854,4.821328385422945,4.4856703097138695,2.566024318257217,12.191903368851628,-0.06488817609873498,94.0,3.7305536638603654,87,275,0
2021,2018-01-01,2020-12-31,2021-01-01,2021-12-31,16,2.0,0.0,0.8384217640133871,stable_primary,0.16050474452676755,0.16050474452676755,0.17097478779860165,1.769551521429516,0.12435921385628323,1.331986116532593,2.599054489322383,2.202917649596268,1.7381215411066704,7.154805398539801,-0.04784786712521205,159.0,3.3699633673570357,171,275,0
2022,2019-01-01,2021-12-31,2022-01-01,2022-12-31,22,0.0,-4.0,0.885616902497332,stable_primary,0.1207213503888599,0.1207213503888599,0.2394191824268228,2.305502361506066,0.0047480133127626445,0.09765457026268036,0.046192350220534466,0.15307589811179165,4.389643608154595,0.10816398178527091,-0.10278787050440985,125.0,2.6190251023470252,176,275,0
2023,2020-01-01,2022-12-31,2023-01-01,2023-12-31,23,2.0,0.0,0.9444848275931355,stable_primary,0.11822513847910177,0.11822513847910177,0.18365471794906618,1.7013270151366107,0.04312694299337183,0.5222844407345127,0.5265122833721521,0.8857509356195584,3.997519907337417,1.078842482165321,-0.08191061131025623,162.0,1.1201016161441375,173,275,0
2024,2021-01-01,2023-12-31,2024-01-01,2024-12-31,23,3.0,0.0,0.8637416989042549,stable_primary,0.09316709526299027,0.09316709526299027,0.08966228888434657,0.9405217197952108,0.2428213697549022,1.5532753246756004,2.699220507995023,3.6295365766082766,3.298806735769106,7.36088498674322,-0.08995981211452397,184.0,2.4967405709323405,117,275,0
2025,2022-01-01,2024-12-31,2025-01-01,2025-12-31,21,3.0,-2.0,0.8449013730555286,stable_primary,0.10501713309948824,0.10501713309948824,0.1241747800447075,1.0413739594408207,0.1536138103602689,1.5068654878243635,2.3888987680167233,2.3242471979450854,2.8248350176120347,5.437974586215865,-0.06430318957709535,131.0,3.207456638740296,164,275,0
2026,2023-01-01,2025-12-31,2026-01-01,2026-07-21,23,3.0,-3.0,0.8897345977114162,stable_primary,0.15272384131920813,0.1286357586523057,0.200201598300211,1.544315046531068,0.024132911728949047,0.28740741922822144,0.36632316470123494,0.5124175132810634,3.0734141558187114,0.785215089976066,-0.0658787487507958,79.0,1.6389472542562895,176,275,0
